hgnc_id	gene_symbol	ndd_ad_classes	ndd_ar_classes	ndd_adar_classes	ndd_all_classes
HGNC:52	ABCC10	negative	negative	negative	negative
HGNC:14639	ABCC11	negative	negative	negative	negative
HGNC:14640	ABCC12	negative	negative	negative	negative
HGNC:61	ABCD1	-	-	-	positive
HGNC:66	ABCD2	negative	negative	negative	negative
HGNC:67	ABCD3	uknown	uknown	uknown	uknown
HGNC:68	ABCD4	-	positive	positive	positive
HGNC:69	ABCE1	negative	negative	negative	negative
HGNC:70	ABCF1	negative	negative	negative	negative
HGNC:71	ABCF2	negative	negative	negative	negative
HGNC:72	ABCF3	negative	negative	negative	negative
HGNC:73	ABCG1	negative	negative	negative	negative
HGNC:74	ABCG2	uknown	uknown	uknown	uknown
HGNC:13884	ABCG4	negative	negative	negative	negative
HGNC:13886	ABCG5	uknown	uknown	uknown	uknown
HGNC:13887	ABCG8	uknown	uknown	uknown	uknown
HGNC:17553	ABHD1	negative	negative	negative	negative
HGNC:18717	ABHD2	negative	negative	negative	negative
HGNC:18718	ABHD3	negative	negative	negative	negative
HGNC:20154	ABHD4	negative	negative	negative	negative
HGNC:21396	ABHD5	-	positive	positive	positive
HGNC:21398	ABHD6	negative	negative	negative	negative
HGNC:23759	ABHD8	negative	negative	negative	negative
HGNC:25656	ABHD10	negative	negative	negative	negative
HGNC:16407	ABHD11	negative	negative	negative	negative
HGNC:15868	ABHD12	uknown	uknown	uknown	uknown
HGNC:19837	ABHD12B	negative	negative	negative	negative
HGNC:20293	ABHD13	negative	negative	negative	negative
HGNC:24538	ABHD14A	negative	negative	negative	negative
HGNC:28235	ABHD14B	negative	negative	negative	negative
HGNC:26971	ABHD15	negative	negative	negative	negative
HGNC:13921	ABHD16A	-	positive	positive	positive
HGNC:16128	ABHD16B	negative	negative	negative	negative
HGNC:28756	ABHD17A	negative	negative	negative	negative
HGNC:24278	ABHD17B	negative	negative	negative	negative
HGNC:26925	ABHD17C	negative	negative	negative	negative
HGNC:26111	ABHD18	negative	negative	negative	negative
HGNC:11320	ABI1	negative	negative	negative	negative
HGNC:24011	ABI2	negative	negative	negative	negative
HGNC:29859	ABI3	uknown	uknown	uknown	uknown
HGNC:17265	ABI3BP	negative	negative	negative	negative
HGNC:1364	ABITRAM	negative	negative	negative	negative
HGNC:76	ABL1	uknown	uknown	uknown	uknown
HGNC:77	ABL2	negative	negative	negative	negative
HGNC:78	ABLIM1	negative	negative	negative	negative
HGNC:19195	ABLIM2	negative	negative	negative	negative
HGNC:29132	ABLIM3	negative	negative	negative	negative
HGNC:79	ABO	uknown	uknown	uknown	uknown
HGNC:81	ABR	uknown	uknown	uknown	uknown
HGNC:30655	ABRA	negative	negative	negative	negative
HGNC:21230	ABRACL	negative	negative	negative	negative
HGNC:25829	ABRAXAS1	negative	negative	negative	negative
HGNC:28975	ABRAXAS2	negative	negative	negative	negative
HGNC:17369	ABT1	negative	negative	negative	negative
HGNC:18275	ABTB1	negative	negative	negative	negative
HGNC:23842	ABTB2	negative	negative	negative	negative
HGNC:23844	ABTB3	negative	negative	negative	negative
HGNC:82	ACAA1	negative	negative	negative	negative
HGNC:83	ACAA2	negative	negative	negative	negative
HGNC:84	ACACA	negative	negative	negative	negative
HGNC:85	ACACB	negative	negative	negative	negative
HGNC:87	ACAD8	uknown	uknown	uknown	uknown
HGNC:21497	ACAD9	-	positive	positive	positive
HGNC:21597	ACAD10	negative	negative	negative	negative
HGNC:30211	ACAD11	negative	negative	negative	negative
HGNC:88	ACADL	uknown	uknown	uknown	uknown
HGNC:89	ACADM	-	positive	positive	positive
HGNC:90	ACADS	-	positive	positive	positive
HGNC:91	ACADSB	uknown	uknown	uknown	uknown
HGNC:92	ACADVL	uknown	uknown	uknown	uknown
HGNC:319	ACAN	uknown	uknown	uknown	uknown
HGNC:16467	ACAP1	negative	negative	negative	negative
HGNC:16469	ACAP2	negative	negative	negative	negative
HGNC:16754	ACAP3	negative	negative	negative	negative
HGNC:93	ACAT1	uknown	uknown	uknown	uknown
HGNC:94	ACAT2	uknown	uknown	uknown	uknown
HGNC:15453	ACBD3	negative	negative	negative	negative
HGNC:23337	ACBD4	negative	negative	negative	negative
HGNC:23338	ACBD5	uknown	uknown	uknown	uknown
HGNC:23339	ACBD6	uknown	uknown	uknown	uknown
HGNC:17715	ACBD7	negative	negative	negative	negative
HGNC:23989	ACCS	uknown	uknown	uknown	uknown
HGNC:34391	ACCSL	negative	negative	negative	negative
HGNC:25070	ACD	uknown	uknown	uknown	uknown
HGNC:2707	ACE	uknown	uknown	uknown	uknown
HGNC:13557	ACE2	uknown	uknown	uknown	uknown
HGNC:18356	ACER1	negative	negative	negative	negative
HGNC:23675	ACER2	negative	negative	negative	negative
HGNC:16066	ACER3	-	positive	positive	positive
HGNC:108	ACHE	uknown	uknown	uknown	uknown
HGNC:17066	ACIN1	uknown	uknown	uknown	uknown
HGNC:4035	ACKR1	uknown	uknown	uknown	uknown
HGNC:1565	ACKR2	negative	negative	negative	negative
HGNC:23692	ACKR3	negative	negative	negative	negative
HGNC:1611	ACKR4	negative	negative	negative	negative
HGNC:115	ACLY	negative	negative	negative	negative
HGNC:19288	ACMSD	negative	negative	negative	negative
HGNC:117	ACO1	negative	negative	negative	negative
HGNC:118	ACO2	positive	positive	positive	positive
HGNC:33904	ACOD1	negative	negative	negative	negative
HGNC:33128	ACOT1	negative	negative	negative	negative
HGNC:18431	ACOT2	negative	negative	negative	negative
HGNC:19748	ACOT4	negative	negative	negative	negative
HGNC:33159	ACOT6	negative	negative	negative	negative
HGNC:24157	ACOT7	negative	negative	negative	negative
HGNC:15919	ACOT8	negative	negative	negative	negative
HGNC:17152	ACOT9	uknown	uknown	uknown	uknown
HGNC:18156	ACOT11	uknown	uknown	uknown	uknown
HGNC:24436	ACOT12	negative	negative	negative	negative
HGNC:20999	ACOT13	negative	negative	negative	negative
HGNC:119	ACOX1	-	positive	positive	positive
HGNC:120	ACOX2	uknown	uknown	uknown	uknown
HGNC:121	ACOX3	negative	negative	negative	negative
HGNC:25621	ACOXL	negative	negative	negative	negative
HGNC:122	ACP1	negative	negative	negative	negative
HGNC:123	ACP2	negative	negative	negative	negative
HGNC:125	ACP3	negative	negative	negative	negative
HGNC:14376	ACP4	uknown	uknown	uknown	uknown
HGNC:124	ACP5	uknown	uknown	uknown	uknown
HGNC:29609	ACP6	negative	negative	negative	negative
HGNC:33781	ACP7	negative	negative	negative	negative
HGNC:126	ACR	negative	negative	negative	negative
HGNC:17195	ACRBP	negative	negative	negative	negative
HGNC:127	ACRV1	negative	negative	negative	negative
HGNC:29567	ACSBG1	negative	negative	negative	negative
HGNC:24174	ACSBG2	negative	negative	negative	negative
HGNC:26101	ACSF2	negative	negative	negative	negative
HGNC:27288	ACSF3	uknown	uknown	uknown	uknown
HGNC:3569	ACSL1	negative	negative	negative	negative
HGNC:3570	ACSL3	negative	negative	negative	negative
HGNC:3571	ACSL4	-	-	-	positive
HGNC:16526	ACSL5	negative	negative	negative	negative
HGNC:16496	ACSL6	uknown	uknown	uknown	uknown
HGNC:18049	ACSM1	negative	negative	negative	negative
HGNC:32017	ACSM2A	negative	negative	negative	negative
HGNC:30931	ACSM2B	negative	negative	negative	negative
HGNC:10522	ACSM3	negative	negative	negative	negative
HGNC:32016	ACSM4	negative	negative	negative	negative
HGNC:26060	ACSM5	negative	negative	negative	negative
HGNC:31665	ACSM6	negative	negative	negative	negative
HGNC:16091	ACSS1	negative	negative	negative	negative
HGNC:15814	ACSS2	negative	negative	negative	negative
HGNC:24723	ACSS3	negative	negative	negative	negative
HGNC:129	ACTA1	uknown	uknown	uknown	uknown
HGNC:130	ACTA2	uknown	uknown	uknown	uknown
HGNC:132	ACTB	positive	-	positive	positive
HGNC:17780	ACTBL2	negative	negative	negative	negative
HGNC:143	ACTC1	uknown	uknown	uknown	uknown
HGNC:144	ACTG1	positive	-	positive	positive
HGNC:145	ACTG2	uknown	uknown	uknown	uknown
HGNC:24124	ACTL6A	positive	-	positive	positive
HGNC:160	ACTL6B	positive	positive	positive	positive
HGNC:161	ACTL7A	negative	negative	negative	negative
HGNC:162	ACTL7B	negative	negative	negative	negative
HGNC:24018	ACTL8	negative	negative	negative	negative
HGNC:28494	ACTL9	negative	negative	negative	negative
HGNC:16127	ACTL10	uknown	uknown	uknown	uknown
HGNC:24758	ACTMAP	negative	negative	negative	negative
HGNC:163	ACTN1	uknown	uknown	uknown	uknown
HGNC:164	ACTN2	uknown	uknown	uknown	uknown
HGNC:165	ACTN3	negative	negative	negative	negative
HGNC:166	ACTN4	uknown	uknown	uknown	uknown
HGNC:167	ACTR1A	negative	negative	negative	negative
HGNC:168	ACTR1B	negative	negative	negative	negative
HGNC:169	ACTR2	negative	negative	negative	negative
HGNC:170	ACTR3	negative	negative	negative	negative
HGNC:17256	ACTR3B	negative	negative	negative	negative
HGNC:37282	ACTR3C	negative	negative	negative	negative
HGNC:14671	ACTR5	negative	negative	negative	negative
HGNC:24025	ACTR6	negative	negative	negative	negative
HGNC:14672	ACTR8	negative	negative	negative	negative
HGNC:17372	ACTR10	negative	negative	negative	negative
HGNC:24027	ACTRT1	uknown	uknown	uknown	uknown
HGNC:24026	ACTRT2	negative	negative	negative	negative
HGNC:24022	ACTRT3	negative	negative	negative	negative
HGNC:171	ACVR1	uknown	uknown	uknown	uknown
HGNC:172	ACVR1B	negative	negative	negative	negative
HGNC:18123	ACVR1C	negative	negative	negative	negative
HGNC:173	ACVR2A	negative	negative	negative	negative
HGNC:174	ACVR2B	uknown	uknown	uknown	uknown
HGNC:175	ACVRL1	uknown	uknown	uknown	uknown
HGNC:177	ACY1	-	positive	positive	positive
HGNC:24104	ACY3	negative	negative	negative	negative
HGNC:179	ACYP1	negative	negative	negative	negative
HGNC:180	ACYP2	negative	negative	negative	negative
HGNC:186	ADA	uknown	uknown	uknown	uknown
HGNC:1839	ADA2	uknown	uknown	uknown	uknown
HGNC:30713	ADAD1	negative	negative	negative	negative
HGNC:30714	ADAD2	negative	negative	negative	negative
HGNC:31853	ADAL	negative	negative	negative	negative
HGNC:198	ADAM2	negative	negative	negative	negative
HGNC:214	ADAM7	negative	negative	negative	negative
HGNC:215	ADAM8	negative	negative	negative	negative
HGNC:216	ADAM9	uknown	uknown	uknown	uknown
HGNC:188	ADAM10	uknown	uknown	uknown	uknown
HGNC:189	ADAM11	negative	negative	negative	negative
HGNC:190	ADAM12	negative	negative	negative	negative
HGNC:193	ADAM15	negative	negative	negative	negative
HGNC:195	ADAM17	uknown	uknown	uknown	uknown
HGNC:196	ADAM18	negative	negative	negative	negative
HGNC:197	ADAM19	negative	negative	negative	negative
HGNC:199	ADAM20	negative	negative	negative	negative
HGNC:200	ADAM21	negative	negative	negative	negative
HGNC:201	ADAM22	-	positive	positive	positive
HGNC:202	ADAM23	negative	negative	negative	negative
HGNC:206	ADAM28	negative	negative	negative	negative
HGNC:207	ADAM29	negative	negative	negative	negative
HGNC:208	ADAM30	negative	negative	negative	negative
HGNC:15479	ADAM32	negative	negative	negative	negative
HGNC:15478	ADAM33	negative	negative	negative	negative
HGNC:16299	ADAMDEC1	negative	negative	negative	negative
HGNC:217	ADAMTS1	negative	negative	negative	negative
HGNC:218	ADAMTS2	uknown	uknown	uknown	uknown
HGNC:219	ADAMTS3	uknown	uknown	uknown	uknown
HGNC:220	ADAMTS4	negative	negative	negative	negative
HGNC:221	ADAMTS5	negative	negative	negative	negative
HGNC:222	ADAMTS6	negative	negative	negative	negative
HGNC:223	ADAMTS7	negative	negative	negative	negative
HGNC:224	ADAMTS8	negative	negative	negative	negative
HGNC:13202	ADAMTS9	uknown	uknown	uknown	uknown
HGNC:13201	ADAMTS10	uknown	uknown	uknown	uknown
HGNC:14605	ADAMTS12	negative	negative	negative	negative
HGNC:1366	ADAMTS13	uknown	uknown	uknown	uknown
HGNC:14899	ADAMTS14	negative	negative	negative	negative
HGNC:16305	ADAMTS15	uknown	uknown	uknown	uknown
HGNC:17108	ADAMTS16	negative	negative	negative	negative
HGNC:17109	ADAMTS17	uknown	uknown	uknown	uknown
HGNC:17110	ADAMTS18	uknown	uknown	uknown	uknown
HGNC:17111	ADAMTS19	uknown	uknown	uknown	uknown
HGNC:17178	ADAMTS20	negative	negative	negative	negative
HGNC:14632	ADAMTSL1	negative	negative	negative	negative
HGNC:14631	ADAMTSL2	uknown	uknown	uknown	uknown
HGNC:14633	ADAMTSL3	negative	negative	negative	negative
HGNC:19706	ADAMTSL4	uknown	uknown	uknown	uknown
HGNC:27912	ADAMTSL5	negative	negative	negative	negative
HGNC:16486	ADAP1	negative	negative	negative	negative
HGNC:16487	ADAP2	negative	negative	negative	negative
HGNC:225	ADAR	positive	positive	positive	positive
HGNC:226	ADARB1	-	positive	positive	positive
HGNC:227	ADARB2	negative	negative	negative	negative
HGNC:228	ADAT1	negative	negative	negative	negative
HGNC:21172	ADAT2	negative	negative	negative	negative
HGNC:25151	ADAT3	-	positive	positive	positive
HGNC:19038	ADCK1	negative	negative	negative	negative
HGNC:19039	ADCK2	negative	negative	negative	negative
HGNC:21738	ADCK5	negative	negative	negative	negative
HGNC:232	ADCY1	uknown	uknown	uknown	uknown
HGNC:233	ADCY2	negative	negative	negative	negative
HGNC:234	ADCY3	uknown	uknown	uknown	uknown
HGNC:235	ADCY4	negative	negative	negative	negative
HGNC:236	ADCY5	uknown	uknown	uknown	uknown
HGNC:237	ADCY6	uknown	uknown	uknown	uknown
HGNC:238	ADCY7	negative	negative	negative	negative
HGNC:239	ADCY8	negative	negative	negative	negative
HGNC:240	ADCY9	negative	negative	negative	negative
HGNC:21285	ADCY10	uknown	uknown	uknown	uknown
HGNC:241	ADCYAP1	negative	negative	negative	negative
HGNC:242	ADCYAP1R1	negative	negative	negative	negative
HGNC:243	ADD1	positive	positive	positive	positive
HGNC:244	ADD2	uknown	uknown	uknown	uknown
HGNC:245	ADD3	-	positive	positive	positive
HGNC:21212	ADGB	negative	negative	negative	negative
HGNC:13838	ADGRA1	negative	negative	negative	negative
HGNC:17849	ADGRA2	negative	negative	negative	negative
HGNC:13839	ADGRA3	uknown	uknown	uknown	uknown
HGNC:943	ADGRB1	negative	negative	negative	negative
HGNC:944	ADGRB2	negative	negative	negative	negative
HGNC:945	ADGRB3	negative	negative	negative	negative
HGNC:19893	ADGRD1	negative	negative	negative	negative
HGNC:18651	ADGRD2	negative	negative	negative	negative
HGNC:3336	ADGRE1	negative	negative	negative	negative
HGNC:3337	ADGRE2	negative	negative	negative	negative
HGNC:23647	ADGRE3	negative	negative	negative	negative
HGNC:1711	ADGRE5	negative	negative	negative	negative
HGNC:18990	ADGRF1	negative	negative	negative	negative
HGNC:18989	ADGRF3	negative	negative	negative	negative
HGNC:19011	ADGRF4	negative	negative	negative	negative
HGNC:19030	ADGRF5	negative	negative	negative	negative
HGNC:4512	ADGRG1	-	positive	positive	positive
HGNC:4516	ADGRG2	negative	negative	negative	negative
HGNC:13728	ADGRG3	negative	negative	negative	negative
HGNC:18992	ADGRG4	uknown	uknown	uknown	uknown
HGNC:19010	ADGRG5	negative	negative	negative	negative
HGNC:13841	ADGRG6	uknown	uknown	uknown	uknown
HGNC:19241	ADGRG7	negative	negative	negative	negative
HGNC:20973	ADGRL1	negative	negative	negative	negative
HGNC:18582	ADGRL2	negative	negative	negative	negative
HGNC:20974	ADGRL3	negative	negative	negative	negative
HGNC:20822	ADGRL4	negative	negative	negative	negative
HGNC:17416	ADGRV1	uknown	uknown	uknown	uknown
HGNC:249	ADH1A	negative	negative	negative	negative
HGNC:250	ADH1B	negative	negative	negative	negative
HGNC:251	ADH1C	negative	negative	negative	negative
HGNC:252	ADH4	negative	negative	negative	negative
HGNC:253	ADH5	uknown	uknown	uknown	uknown
HGNC:255	ADH6	negative	negative	negative	negative
HGNC:256	ADH7	negative	negative	negative	negative
HGNC:16354	ADHFE1	negative	negative	negative	negative
HGNC:30576	ADI1	uknown	uknown	uknown	uknown
HGNC:28606	ADIG	negative	negative	negative	negative
HGNC:13633	ADIPOQ	negative	negative	negative	negative
HGNC:24040	ADIPOR1	uknown	uknown	uknown	uknown
HGNC:24041	ADIPOR2	negative	negative	negative	negative
HGNC:24043	ADIRF	negative	negative	negative	negative
HGNC:15873	ADISSP	negative	negative	negative	negative
HGNC:257	ADK	-	positive	positive	positive
HGNC:259	ADM	uknown	uknown	uknown	uknown
HGNC:28898	ADM2	negative	negative	negative	negative
HGNC:27293	ADM5	negative	negative	negative	negative
HGNC:15766	ADNP	positive	-	positive	positive
HGNC:23803	ADNP2	negative	negative	negative	negative
HGNC:23506	ADO	negative	negative	negative	negative
HGNC:262	ADORA1	negative	negative	negative	negative
HGNC:263	ADORA2A	uknown	uknown	uknown	uknown
HGNC:264	ADORA2B	negative	negative	negative	negative
HGNC:268	ADORA3	uknown	uknown	uknown	uknown
HGNC:25250	ADPGK	negative	negative	negative	negative
HGNC:269	ADPRH	negative	negative	negative	negative
HGNC:21303	ADPRHL1	negative	negative	negative	negative
HGNC:30925	ADPRM	negative	negative	negative	negative
HGNC:21304	ADPRS	uknown	uknown	uknown	uknown
HGNC:277	ADRA1A	negative	negative	negative	negative
HGNC:278	ADRA1B	negative	negative	negative	negative
HGNC:280	ADRA1D	negative	negative	negative	negative
HGNC:281	ADRA2A	uknown	uknown	uknown	uknown
HGNC:282	ADRA2B	uknown	uknown	uknown	uknown
HGNC:283	ADRA2C	negative	negative	negative	negative
HGNC:285	ADRB1	negative	negative	negative	negative
HGNC:286	ADRB2	uknown	uknown	uknown	uknown
HGNC:288	ADRB3	negative	negative	negative	negative
HGNC:15759	ADRM1	negative	negative	negative	negative
HGNC:291	ADSL	-	positive	positive	positive
HGNC:20093	ADSS1	uknown	uknown	uknown	uknown
HGNC:292	ADSS2	negative	negative	negative	negative
HGNC:21214	ADTRP	negative	negative	negative	negative
HGNC:303	AEBP1	uknown	uknown	uknown	uknown
HGNC:24051	AEBP2	negative	negative	negative	negative
HGNC:25722	AEN	negative	negative	negative	negative
HGNC:24017	AFAP1	negative	negative	negative	negative
HGNC:26714	AFAP1L1	negative	negative	negative	negative
HGNC:25901	AFAP1L2	negative	negative	negative	negative
HGNC:7137	AFDN	negative	negative	negative	negative
HGNC:7135	AFF1	negative	negative	negative	negative
HGNC:3776	AFF2	-	-	-	positive
HGNC:6473	AFF3	positive	-	positive	positive
HGNC:17869	AFF4	positive	-	positive	positive
HGNC:16411	AFG1L	negative	negative	negative	negative
HGNC:18119	AFG2A	-	positive	positive	positive
HGNC:28762	AFG2B	-	positive	positive	positive
HGNC:315	AFG3L2	uknown	uknown	uknown	uknown
HGNC:316	AFM	negative	negative	negative	negative
HGNC:20910	AFMID	negative	negative	negative	negative
HGNC:317	AFP	uknown	uknown	uknown	uknown
HGNC:25951	AFTPH	negative	negative	negative	negative
HGNC:318	AGA	-	positive	positive	positive
HGNC:16922	AGAP1	uknown	uknown	uknown	uknown
HGNC:16921	AGAP2	uknown	uknown	uknown	uknown
HGNC:16923	AGAP3	negative	negative	negative	negative
HGNC:23459	AGAP4	negative	negative	negative	negative
HGNC:23467	AGAP5	negative	negative	negative	negative
HGNC:23466	AGAP6	negative	negative	negative	negative
HGNC:23463	AGAP9	negative	negative	negative	negative
HGNC:26504	AGBL1	uknown	uknown	uknown	uknown
HGNC:26296	AGBL2	negative	negative	negative	negative
HGNC:27981	AGBL3	uknown	uknown	uknown	uknown
HGNC:25892	AGBL4	uknown	uknown	uknown	uknown
HGNC:26147	AGBL5	uknown	uknown	uknown	uknown
HGNC:320	AGER	negative	negative	negative	negative
HGNC:5175	AGFG1	negative	negative	negative	negative
HGNC:5177	AGFG2	negative	negative	negative	negative
HGNC:24684	AGGF1	uknown	uknown	uknown	uknown
HGNC:21869	AGK	uknown	uknown	uknown	uknown
HGNC:321	AGL	uknown	uknown	uknown	uknown
HGNC:18407	AGMAT	negative	negative	negative	negative
HGNC:33784	AGMO	uknown	uknown	uknown	uknown
HGNC:3262	AGO1	positive	-	positive	positive
HGNC:3263	AGO2	positive	-	positive	positive
HGNC:18421	AGO3	negative	negative	negative	negative
HGNC:18424	AGO4	negative	negative	negative	negative
HGNC:324	AGPAT1	negative	negative	negative	negative
HGNC:325	AGPAT2	uknown	uknown	uknown	uknown
HGNC:326	AGPAT3	negative	negative	negative	negative
HGNC:20885	AGPAT4	negative	negative	negative	negative
HGNC:20886	AGPAT5	negative	negative	negative	negative
HGNC:327	AGPS	uknown	uknown	uknown	uknown
HGNC:328	AGR2	uknown	uknown	uknown	uknown
HGNC:24167	AGR3	negative	negative	negative	negative
HGNC:329	AGRN	uknown	uknown	uknown	uknown
HGNC:330	AGRP	negative	negative	negative	negative
HGNC:333	AGT	uknown	uknown	uknown	uknown
HGNC:17258	AGTPBP1	uknown	uknown	uknown	uknown
HGNC:336	AGTR1	uknown	uknown	uknown	uknown
HGNC:338	AGTR2	uknown	uknown	uknown	uknown
HGNC:13539	AGTRAP	negative	negative	negative	negative
HGNC:341	AGXT	uknown	uknown	uknown	uknown
HGNC:14412	AGXT2	negative	negative	negative	negative
HGNC:24618	AHCTF1	negative	negative	negative	negative
HGNC:343	AHCY	-	positive	positive	positive
HGNC:344	AHCYL1	negative	negative	negative	negative
HGNC:22204	AHCYL2	negative	negative	negative	negative
HGNC:25230	AHDC1	positive	-	positive	positive
HGNC:21575	AHI1	-	positive	positive	positive
HGNC:347	AHNAK	negative	negative	negative	negative
HGNC:20125	AHNAK2	negative	negative	negative	negative
HGNC:348	AHR	uknown	uknown	uknown	uknown
HGNC:346	AHRR	negative	negative	negative	negative
HGNC:1189	AHSA1	negative	negative	negative	negative
HGNC:349	AHSG	negative	negative	negative	negative
HGNC:18075	AHSP	negative	negative	negative	negative
HGNC:13203	AICDA	uknown	uknown	uknown	uknown
HGNC:25761	AIDA	negative	negative	negative	negative
HGNC:352	AIF1	negative	negative	negative	negative
HGNC:28904	AIF1L	negative	negative	negative	negative
HGNC:8768	AIFM1	-	-	-	positive
HGNC:21411	AIFM2	uknown	uknown	uknown	uknown
HGNC:26398	AIFM3	negative	negative	negative	negative
HGNC:21607	AIG1	negative	negative	negative	negative
HGNC:357	AIM2	uknown	uknown	uknown	uknown
HGNC:10648	AIMP1	-	positive	positive	positive
HGNC:20609	AIMP2	uknown	uknown	uknown	uknown
HGNC:358	AIP	uknown	uknown	uknown	uknown
HGNC:359	AIPL1	uknown	uknown	uknown	uknown
HGNC:360	AIRE	uknown	uknown	uknown	uknown
HGNC:26039	AIRIM	negative	negative	negative	negative
HGNC:30801	AJAP1	negative	negative	negative	negative
HGNC:37284	AJM1	negative	negative	negative	negative
HGNC:20250	AJUBA	negative	negative	negative	negative
HGNC:361	AK1	uknown	uknown	uknown	uknown
HGNC:362	AK2	uknown	uknown	uknown	uknown
HGNC:17376	AK3	negative	negative	negative	negative
HGNC:363	AK4	negative	negative	negative	negative
HGNC:365	AK5	negative	negative	negative	negative
HGNC:49151	AK6	negative	negative	negative	negative
HGNC:20091	AK7	negative	negative	negative	negative
HGNC:26526	AK8	negative	negative	negative	negative
HGNC:33814	AK9	negative	negative	negative	negative
HGNC:28285	AKAIN1	negative	negative	negative	negative
HGNC:367	AKAP1	negative	negative	negative	negative
HGNC:373	AKAP3	negative	negative	negative	negative
HGNC:374	AKAP4	uknown	uknown	uknown	uknown
HGNC:375	AKAP5	negative	negative	negative	negative
HGNC:376	AKAP6	uknown	uknown	uknown	uknown
HGNC:377	AKAP7	negative	negative	negative	negative
HGNC:378	AKAP8	negative	negative	negative	negative
HGNC:29857	AKAP8L	negative	negative	negative	negative
HGNC:379	AKAP9	uknown	uknown	uknown	uknown
HGNC:368	AKAP10	uknown	uknown	uknown	uknown
HGNC:369	AKAP11	negative	negative	negative	negative
HGNC:370	AKAP12	negative	negative	negative	negative
HGNC:371	AKAP13	negative	negative	negative	negative
HGNC:24061	AKAP14	negative	negative	negative	negative
HGNC:18783	AKAP17A	uknown	uknown	uknown	uknown
HGNC:1170	AKIP1	negative	negative	negative	negative
HGNC:25744	AKIRIN1	negative	negative	negative	negative
HGNC:21407	AKIRIN2	negative	negative	negative	negative
HGNC:24108	AKNA	uknown	uknown	uknown	uknown
HGNC:28398	AKNAD1	negative	negative	negative	negative
HGNC:380	AKR1A1	negative	negative	negative	negative
HGNC:381	AKR1B1	uknown	uknown	uknown	uknown
HGNC:382	AKR1B10	negative	negative	negative	negative
HGNC:37281	AKR1B15	negative	negative	negative	negative
HGNC:384	AKR1C1	negative	negative	negative	negative
HGNC:385	AKR1C2	uknown	uknown	uknown	uknown
